### P7S: Abyssos: The Seventh Circle (Savage)
#
# -ii 782A 7837 7838 7830 780D 7822 7825 7827 7819 7814

hideall "--Reset--"
hideall "--sync--"

0.0 "--Reset--" sync / 21:........:4000000F:/ window 100000 jump 0

0.0 "--sync--" sync / 104:[^:]*:1($|:)/ window 0,1
13.0 "Spark of Life" Ability { id: "7839", source: "Agdistis" } window 50,50
26.3 "Condensed Aero II/Dispersed Aero II" Ability { id: "(7836|7835)", source: "Agdistis" }
34.1 "--sync--" Ability { id: "782E", source: "Agdistis" }
42.7 "Immortal's Obol" Ability { id: "780C", source: "Agdistis" }
44.6 "Blades of Attis" Ability { id: "782F", source: "Agdistis" } duration 14

# Forbidden Fruit: Healer Stacks
59.4 "Forbidden Fruit" Ability { id: "7810", source: "Agdistis" }
64.5 "--eggs--" Ability { id: "7811", source: "Agdistis" }
70.7 "--sync--" Ability { id: "783A", source: "Agdistis" }
79.8 "Hemitheos's Holy III" Ability { id: "783B", source: "Agdistis" }
80.0 "Bough of Attis (far)" Ability { id: "7826", source: "Agdistis" }
80.3 "Stymphalian Strike" Ability { id: "7815", source: "Immature Stymphalide" }
91.7 "Condensed Aero II/Dispersed Aero II" Ability { id: "(7836|7835)", source: "Agdistis" }
102.5 "Spark of Life" Ability { id: "7839", source: "Agdistis" }

# Inviolate Bonds: Spread/Stack
111.8 "Inviolate Bonds" Ability { id: "781A", source: "Agdistis" }
121.8 "Bough of Attis (close)" Ability { id: "7821", source: "Agdistis" }
121.9 "Hemitheos's Aero III" Ability { id: "781B", source: "Agdistis" }
121.9 "Hemitheos's Holy III" Ability { id: "781C", source: "Agdistis" }
129.4 "Bough of Attis (arrow)" Ability { id: "(7823|7824)", source: "Agdistis" }
132.9 "Hemitheos's Aero III" Ability { id: "781B", source: "Agdistis" }
132.9 "Hemitheos's Holy III" Ability { id: "781C", source: "Agdistis" }
138.6 "Roots of Attis" Ability { id: "780E", source: "Agdistis" }
157.1 "Condensed Aero II/Dispersed Aero II" Ability { id: "(7836|7835)", source: "Agdistis" }

# Forbidden Fruit: Birds + Knockback
165.8 "Forbidden Fruit" Ability { id: "7810", source: "Agdistis" }
170.9 "--eggs--" Ability { id: "7811", source: "Agdistis" }
176.0 "Multicast" Ability { id: "79F5", source: "Agdistis" }
182.0 "Hemitheos's Aero IV" Ability { id: "7A0B", source: "Agdistis" }
185.8 "Hemitheos's Holy" Ability { id: "7832", source: "Agdistis" }
