### Barbariccia
#
# -ii 748C 75D9 759F 75D4 75D2 75D7 7591 75D0 75C3 75C0 759C 7382 7488 75BC 7468 75BB 75E0 748E 75C8 75D3 75C9 75CE 75CF 746C 75D5 7586 75CB 75CC 75CD 7487 75B9 759A 75E2 7578
# -ic "Stiff Breeze"

hideall "--Reset--"
hideall "--sync--"
hideall "Brush with Death"

0.0 "--Reset--" ActorControl { command: "4000000F" } window 100000 jump 0

0.0 "--sync--" InCombat { inGameCombat: "1" } window 0,1

# Intro
15.1 "Void Aero IV" Ability { id: "75B6", source: "Barbariccia" } window 16,10
22.3 "--sync--" Ability { id: "7381", source: "Barbariccia" }
34.6 "Savage Barbery" Ability { id: "75C1", source: "Barbariccia" } window 10,10
41.6 "Hair Raid" Ability { id: "75C2", source: "Barbariccia" }
50.8 "Void Aero III" Ability { id: "75B7", source: "Barbariccia" }
56.9 "--sync--" Ability { id: "7381", source: "Barbariccia" }
67.3 "Savage Barbery" Ability { id: "75BA", source: "Barbariccia" }
76.4 "Hair Raid" Ability { id: "75C2", source: "Barbariccia" }
88.6 "Void Aero IV" Ability { id: "75B6", source: "Barbariccia" }
95.8 "--sync--" Ability { id: "7381", source: "Barbariccia" }
101.4 "Teasing Tangles" Ability { id: "75DE", source: "Barbariccia" }
102.2 "Fetters" Ability { id: "75B0", source: "Barbariccia" }
103.7 "--sync--" Ability { id: "75AC", source: "Barbariccia" }
111.5 "Secret Breeze" Ability { id: "75C4", source: "Barbariccia" } window 10,10
114.5 "Secret Breeze" Ability { id: "75C5", source: "Barbariccia" }
118.7 "Brush with Death" Ability { id: "75A3", source: "Barbariccia" } window 10,10
124.5 "Deadly Twist" Ability { id: "75DC", source: "Barbariccia" }
129.8 "--sync--" Ability { id: "7381", source: "Barbariccia" }
142.0 "Savage Barbery" Ability { id: "75C1", source: "Barbariccia" }
143.1 "Brush with Death" Ability { id: "75A4", source: "Barbariccia" }
152.2 "Hair Raid" Ability { id: "75C2", source: "Barbariccia" }
160.0 "Hair Spray" Ability { id: "75DB", source: "Barbariccia" }
168.5 "Void Aero IV" Ability { id: "75B6", source: "Barbariccia" }
175.6 "Void Aero III" Ability { id: "75B7", source: "Barbariccia" }
